                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3485,                 1.4782,                 1.5317,                0.64798,                 0.4591,                0.46401,                0.27407,                 1.4191,                 1.7534,                 1.7963,             0.00041576,             0.00041576,             0.00041576
                      2,                 1.4345,                 1.4641,                 1.5986,                0.60969,                0.65013,                0.62551,                0.39665,                 1.2498,                  1.255,                 1.6118,             0.00079946,             0.00079946,             0.00079946
                      3,                 1.3863,                  1.365,                 1.5611,                0.58154,                0.53373,                0.56903,                0.33999,                 1.3746,                 1.5011,                 1.7671,              0.0011502,              0.0011502,              0.0011502
                      4,                 1.3206,                 1.2648,                 1.5049,                0.64875,                0.61157,                0.65012,                0.44219,                  1.161,                 1.1648,                 1.5277,              0.0011015,              0.0011015,              0.0011015
                      5,                 1.2687,                 1.1373,                  1.462,                0.79835,                0.65752,                 0.7614,                0.53025,                 1.0581,                0.95841,                 1.4238,              0.0011015,              0.0011015,              0.0011015
                      6,                 1.2154,                 1.0598,                 1.4252,                0.71556,                0.71569,                0.76621,                0.57724,                0.94493,                0.88399,                 1.3306,               0.001052,               0.001052,               0.001052
                      7,                 1.1632,                0.97014,                 1.3963,                0.78604,                0.74312,                0.81181,                0.61511,                0.94413,                0.85989,                 1.3386,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.1452,                 0.9392,                 1.3849,                0.72062,                0.75662,                 0.8002,                0.60595,                 0.9243,                0.83234,                 1.2867,               0.000953,               0.000953,               0.000953
                      9,                 1.1243,                0.89988,                 1.3579,                0.78633,                0.75876,                0.84331,                0.64078,                0.88151,                0.76884,                 1.2556,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.0942,                0.86007,                 1.3382,                0.74805,                0.76349,                0.81297,                0.62143,                0.84971,                0.79472,                 1.2509,               0.000854,               0.000854,               0.000854
                     11,                 1.0679,                0.82171,                 1.3132,                 0.8702,                0.74238,                0.85269,                0.66092,                0.88352,                0.75566,                 1.2617,              0.0008045,              0.0008045,              0.0008045
                     12,                 1.0557,                0.79696,                 1.3105,                0.80016,                0.72934,                0.82214,                 0.6532,                0.81982,                0.74806,                 1.2162,               0.000755,               0.000755,               0.000755
                     13,                  1.032,                0.76614,                 1.2907,                0.82185,                0.73986,                0.83546,                0.65091,                0.85052,                0.81004,                 1.2274,              0.0007055,              0.0007055,              0.0007055
                     14,                 1.0067,                0.73873,                 1.2783,                0.83386,                0.71343,                0.80475,                0.62291,                0.84563,                0.76844,                 1.2202,               0.000656,               0.000656,               0.000656
                     15,                0.99615,                0.70424,                 1.2657,                0.87252,                0.74603,                0.84851,                0.67068,                0.78129,                0.69011,                 1.1751,              0.0006065,              0.0006065,              0.0006065
                     16,                 0.9813,                0.60023,                 1.3002,                0.83074,                0.77348,                0.85342,                 0.6867,                0.79307,                0.71757,                 1.1836,               0.000557,               0.000557,               0.000557
                     17,                 0.9425,                0.56461,                 1.2675,                0.82841,                 0.7675,                0.84051,                0.66481,                0.79387,                 0.7249,                 1.1935,              0.0005075,              0.0005075,              0.0005075
                     18,                0.92222,                0.54981,                 1.2478,                0.86353,                0.74349,                0.84558,                 0.6783,                0.78845,                0.68697,                 1.1942,               0.000458,               0.000458,               0.000458
                     19,                0.90671,                0.52365,                 1.2345,                0.86028,                0.76423,                0.84235,                0.67998,                0.77335,                0.67154,                 1.1782,              0.0004085,              0.0004085,              0.0004085
                     20,                 0.8847,                0.50147,                 1.2215,                0.84706,                0.72292,                0.84725,                0.69343,                0.76364,                0.67337,                 1.1454,               0.000359,               0.000359,               0.000359
                     21,                0.85166,                0.47751,                 1.1939,                0.87077,                0.76131,                0.85936,                0.70115,                0.77385,                0.67802,                 1.1697,              0.0003095,              0.0003095,              0.0003095
                     22,                0.82517,                0.45816,                 1.1813,                0.82142,                0.76813,                 0.8415,                0.68666,                0.77471,                0.70107,                 1.1839,                0.00026,                0.00026,                0.00026
                     23,                0.80349,                 0.4392,                 1.1606,                0.82995,                0.78894,                 0.8481,                0.70257,                0.75251,                0.67911,                 1.1588,              0.0002105,              0.0002105,              0.0002105
                     24,                0.78739,                0.42407,                 1.1446,                0.83373,                0.77245,                0.84828,                0.70233,                0.74223,                0.67013,                 1.1445,               0.000161,               0.000161,               0.000161
                     25,                0.76373,                0.40514,                 1.1266,                0.85995,                0.77114,                0.85634,                0.71427,                 0.7565,                0.63881,                 1.1629,              0.0001115,              0.0001115,              0.0001115
